lat,lon,corr_r,abs_r,corr_p,samples_n
81.75,-60.25,-0.7740244213136388,0.7740244213136388,6.14248293141567e-51,249
82.25,-55.25,-0.7740099015302937,0.7740099015302937,6.185277267987395e-51,249
63.75,-41.75,-0.7737013145561302,0.7737013145561302,7.167834730992041e-51,249
68.25,-33.25,-0.7730638534596399,0.7730638534596399,9.712578830859376e-51,249
81.25,-55.75,-0.7730149959910585,0.7730149959910585,9.94099106991811e-51,249
81.75,-60.75,-0.7701558301982986,0.7701558301982986,3.8356728504401984e-50,249
81.25,-46.25,-0.7698348020497581,0.7698348020497581,4.458138996734245e-50,249
80.75,-60.25,-0.7684347084080194,0.7684347084080194,8.565680432092573e-50,249
66.25,-49.25,-0.7678655962448517,0.7678655962448517,1.1155070910662887e-49,249
82.25,-43.75,-0.7637034379082273,0.7637034379082273,7.52550827868116e-49,249
80.25,-26.25,-0.7623943073378339,0.7623943073378339,1.3607399918023616e-48,249
64.75,-40.75,-0.761855133969576,0.761855133969576,1.7347546788708084e-48,249
80.25,-25.75,-0.7617586567746718,0.7617586567746718,1.8116720031870176e-48,249
65.75,-49.75,-0.7615869128469378,0.7615869128469378,1.9570329891578387e-48,249
69.25,-50.75,-0.7615103403828761,0.7615103403828761,2.025505171467847e-48,249
80.25,-26.75,-0.7613328334875463,0.7613328334875463,2.193480943915506e-48,249
81.25,-56.25,-0.7613117783835801,0.7613117783835801,2.2142977844539298e-48,249
69.75,-50.25,-0.7609201910748367,0.7609201910748367,2.639073858016596e-48,249
62.75,-43.25,-0.7604972046742795,0.7604972046742795,3.18870132095813e-48,249
79.75,-24.25,-0.7604505723376486,0.7604505723376486,3.255827839922899e-48,249
66.75,-49.25,-0.7599977062748838,0.7599977062748838,3.984913390134397e-48,249
67.75,-50.75,-0.7595166675669976,0.7595166675669976,4.9365419727353583e-48,249
68.25,-50.75,-0.7587433255111313,0.7587433255111313,6.957979410049444e-48,249
79.75,-24.75,-0.7582496892991989,0.7582496892991989,8.656394851964961e-48,249
68.75,-50.25,-0.758249676247142,0.758249676247142,8.65644478166642e-48,249
68.75,-32.75,-0.7576037909347527,0.7576037909347527,1.1510785616886623e-47,249
79.75,-25.25,-0.7570386269548401,0.7570386269548401,1.4759929359783466e-47,249
81.25,-45.75,-0.7569860903939974,0.7569860903939974,1.5104515363299469e-47,249
80.25,-25.25,-0.7564835522591312,0.7564835522591312,1.88299112218932e-47,249
79.75,-23.75,-0.7564708481348484,0.7564708481348484,1.8935012263121736e-47,249
64.25,-41.75,-0.7556245866272439,0.7556245866272439,2.7413010045180295e-47,249
69.25,-26.25,-0.7555395437004029,0.7555395437004029,2.844910953581589e-47,249
80.25,-58.25,-0.7554947683832761,0.7554947683832761,2.9010085182762584e-47,249
67.75,-50.25,-0.7548137190780846,0.7548137190780846,3.9022263461741483e-47,249
64.75,-49.25,-0.7543013255349592,0.7543013255349592,4.874283353990027e-47,249
81.25,-57.75,-0.7538270244709867,0.7538270244709867,5.985713496809715e-47,249
69.25,-50.25,-0.752899983656107,0.752899983656107,8.930710383618622e-47,249
79.75,-25.75,-0.7528906645149219,0.7528906645149219,8.966623330125934e-47,249
81.25,-58.25,-0.7525905069764324,0.7525905069764324,1.0202923076591146e-46,249
81.25,-57.25,-0.7517831048300195,0.7517831048300195,1.442843528372612e-46,249
81.25,-45.25,-0.751451083646732,0.751451083646732,1.6631745354129998e-46,249
79.75,-63.25,-0.751389160615335,0.751389160615335,1.7078028872700626e-46,249
80.25,-27.25,-0.7511894255726006,0.7511894255726006,1.8599790249690476e-46,249
67.75,-34.25,-0.7508747568604947,0.7508747568604947,2.127346755026324e-46,249
68.25,-50.25,-0.7499310982952856,0.7499310982952856,3.178647651403344e-46,249
79.75,-62.75,-0.749876289562225,0.749876289562225,3.253478864572369e-46,249
80.25,-24.75,-0.7498757358990323,0.7498757358990323,3.2542436079245046e-46,249
81.75,-43.25,-0.7498642117337408,0.7498642117337408,3.270201694188785e-46,249
81.25,-56.75,-0.7493700740819746,0.7493700740819746,4.0323638298290505e-46,249
81.75,-24.75,-0.7488684426376732,0.7488684426376732,4.985483287626445e-46,249
67.25,-49.25,-0.7482664168163987,0.7482664168163987,6.42700740561387e-46,249
82.25,-43.25,-0.7470021638306582,0.7470021638306582,1.0930126966211563e-45,249
79.75,-23.25,-0.7468716346644716,0.7468716346644716,1.154402898834516e-45,249
64.25,-51.25,-0.7466258092902144,0.7466258092902144,1.279418828938775e-45,249
80.75,-20.25,-0.7459430283231636,0.7459430283231636,1.7012698471281586e-45,249
81.25,-44.75,-0.7458236443907799,0.7458236443907799,1.7880185061082178e-45,249
81.75,-30.25,-0.7453951760018362,0.7453951760018362,2.1369319040465672e-45,249
80.25,-24.25,-0.7441614245719843,0.7441614245719843,3.5632773631211956e-45,249
81.75,-25.25,-0.7438971185773591,0.7438971185773591,3.974250467221307e-45,249
79.75,-20.25,-0.7436763126929186,0.7436763126929186,4.3532539759323394e-45,249
63.75,-50.75,-0.7434124960048514,0.7434124960048514,4.8531663204527767e-45,249
81.75,-29.75,-0.7433701739078212,0.7433701739078212,4.938482424479183e-45,249
69.75,-26.75,-0.7431586385900325,0.7431586385900325,5.387650898931922e-45,249
63.25,-50.25,-0.7431511221434302,0.7431511221434302,5.40433317292257e-45,249
79.75,-63.75,-0.7428038538100132,0.7428038538100132,6.233382967939691e-45,249
68.75,-32.25,-0.7422459183392249,0.7422459183392249,7.836050431846071e-45,249
80.75,-20.75,-0.7417615636072717,0.7417615636072717,9.553381981878977e-45,249
81.25,-20.25,-0.7417443050469699,0.7417443050469699,9.620996948877531e-45,249
64.25,-50.75,-0.7415855970693797,0.7415855970693797,1.0265380397654929e-44,249
81.75,-29.25,-0.7414341485615537,0.7414341485615537,1.0920007030733806e-44,249
